Código;Nombre de la cuenta;Tipo;Permitir conciliación;Moneda de la cuenta
101000;ACTIVOS CORRIENTES;Activos corrientes;FALSO;
101300;CUENTAS POR COBRAR (PDV);Por cobrar;VERDADERO;
101401;BANCO;Banco y efectivo;FALSO;
101402;CUENTA TRANSITORIA;Activos corrientes;FALSO;
101403;RECIBOS PENDIENTES;Activos corrientes;VERDADERO;
101404;PAGOS PENDIENTES;Activos corrientes;VERDADERO;
101701;TRANSFERENCIA DE LIQUIDEZ;Activos corrientes;VERDADERO;
110100;VALORACIÓN DE EXISTENCIAS;Activos corrientes;FALSO;
110101;CAJA PRINCIPAL BS;Banco y efectivo;VERDADERO;
110102;BANCO NACIONAL BS;Banco y efectivo;VERDADERO;
11010210;BANCO PROVINCIAL # 167089;Banco y efectivo;FALSO;
11010220;BANCO BANESCO # 1006336;Banco y efectivo;FALSO;
11010230;BANCO MERCANTIL # 8654933;Banco y efectivo;FALSO;
11010240;BANCO BICENTENARIO # 1415829;Banco y efectivo;FALSO;
11010250;BANCO DE VENEZUELA;Banco y efectivo;FALSO;
11010260;BANCO NACIONAL DE CREDITO;Banco y efectivo;FALSO;
11010270;BANCO BANESCO R #007433;Banco y efectivo;FALSO;
11010271;BANCO PROVINCIAL R #137015;Banco y efectivo;FALSO;
110103;BANCOS EN EL EXTERIOR;Banco y efectivo;VERDADERO;
11010310;BANCO PROVINCIAL USD #446887;Banco y efectivo;FALSO;
11010320;BANCO BANESCO USD;Banco y efectivo;FALSO;
11010330;CUENTA ZELLE USD;Banco y efectivo;FALSO;
110104;PAGOS PENDIENTES POR CONCILIAR;Activos corrientes;VERDADERO;
110105;TARJETAS POR COBRAR (PUNTO DE VENTA);Activos corrientes;VERDADERO;
110106;CAJA PRINCIPAL USD;Banco y efectivo;VERDADERO;
110301;CLIENTES NACIONALES BS;Por cobrar;VERDADERO;
110302;CLIENTES NACIONALES USD;Por cobrar;VERDADERO;
110303;ANTICIPOS A PROVEEDORES BS;Activos corrientes;VERDADERO;
110304;ANTICIPOS A PROVEEDORES USD;Activos corrientes;VERDADERO;
110400;COSTO DE PRODUCCIÓN;Activos corrientes;VERDADERO;
110500;TRABAJO EN CURSO;Activos corrientes;VERDADERO;
110501;IVA CREDITO FISCAL (16%);Activos corrientes;VERDADERO;
110502;IVA CREDITO FISCAL (REDUCIDO 8%);Activos corrientes;VERDADERO;
110503;IVA CREDITO FISCAL (SUNTUARIO 31%);Activos corrientes;VERDADERO;
110504;RETENCIONES DE IVA ACUMULADAS;Activos corrientes;VERDADERO;VES
110505;RETENCIONES DE ISLR ACUMULADAS;Activos corrientes;VERDADERO;
110506;RETENCIONES MUNICIPALES ACUMULADAS;Activos corrientes;VERDADERO;
121000;CUENTA POR COBRAR;Por cobrar;VERDADERO;
121100;PRODUCTOS A RECIBIR;Activos corrientes;VERDADERO;
122000;CUENTA CORRIENTE DEL PROPIETARIO;Por cobrar;VERDADERO;
128000;GASTOS PREPAGADOS;Activos corrientes;FALSO;
131000;IMPUESTO PAGADO;Activos corrientes;FALSO;
132000;IMPUESTO POR COBRAR;Por cobrar;VERDADERO;
141000;PREPAGOS;Prepagos;FALSO;
151000;ACTIVO FIJO;Activos fijos;FALSO;
191000;ACTIVOS NO CIRCULANTES;Activos no corrientes;FALSO;
